Date,Price,Open,High,Low,Vol.,Change %
7/23/2019,79600.00,78200.00,79700.00,78000.00,756340.00,0.01
7/24/2019,80700.00,79900.00,80900.00,79600.00,523110.00,0.01
7/25/2019,80800.00,80300.00,81300.00,79900.00,322150.00,0.00
7/26/2019,80900.00,80800.00,80900.00,79900.00,342240.00,0.00
7/29/2019,81000.00,80700.00,81000.00,80100.00,354020.00,0.00
7/30/2019,79900.00,81000.00,81100.00,79900.00,345050.00,-0.01
7/31/2019,80000.00,79000.00,80000.00,78600.00,691960.00,0.00
8/1/2019,80100.00,80000.00,80700.00,79900.00,367740.00,0.00
8/2/2019,79000.00,79000.00,80000.00,79000.00,328940.00,-0.01
8/5/2019,76800.00,78200.00,79000.00,76800.00,794840.00,-0.03
8/6/2019,75000.00,76500.00,76600.00,74700.00,1020000.00,-0.02
8/7/2019,74800.00,75000.00,76400.00,73600.00,890330.00,0.00
8/8/2019,74800.00,73600.00,74800.00,72800.00,800350.00,0.00
8/9/2019,76100.00,74900.00,76400.00,74900.00,459400.00,0.02
8/12/2019,76000.00,76000.00,76500.00,75500.00,258890.00,0.00
8/13/2019,75600.00,76000.00,76000.00,74900.00,352420.00,-0.01
8/14/2019,75600.00,76500.00,76500.00,75600.00,432980.00,0.00
8/15/2019,76100.00,75100.00,76100.00,74600.00,487060.00,0.01
8/16/2019,77000.00,75200.00,77500.00,75200.00,405510.00,0.01
8/19/2019,77100.00,77000.00,77500.00,76800.00,291070.00,0.00
8/20/2019,76200.00,77000.00,77000.00,76000.00,258670.00,-0.01
8/21/2019,77000.00,75600.00,77300.00,75600.00,398000.00,0.01
8/22/2019,78000.00,77000.00,78000.00,76500.00,398850.00,0.01
8/23/2019,77000.00,78300.00,78300.00,77000.00,134130.00,-0.01
8/26/2019,76000.00,76000.00,76500.00,75200.00,408280.00,-0.01
8/27/2019,75000.00,76000.00,76500.00,75000.00,363230.00,-0.01
8/28/2019,74800.00,75000.00,75800.00,74600.00,267990.00,0.00
8/29/2019,75000.00,74800.00,75500.00,74800.00,194630.00,0.00
8/30/2019,75400.00,75000.00,75800.00,74900.00,181410.00,0.01
9/3/2019,74000.00,75400.00,75400.00,74000.00,290930.00,-0.02
9/4/2019,75000.00,74000.00,75500.00,74000.00,255700.00,0.01
9/5/2019,74500.00,75000.00,75200.00,73800.00,305580.00,-0.01
9/6/2019,74000.00,74500.00,75000.00,74000.00,242520.00,-0.01
9/9/2019,74000.00,73700.00,74800.00,73700.00,267130.00,0.00
9/10/2019,76100.00,74000.00,76400.00,74000.00,420710.00,0.03
9/11/2019,78000.00,76200.00,78200.00,76100.00,569250.00,0.03
9/12/2019,76800.00,78000.00,78000.00,76800.00,291870.00,-0.02
9/13/2019,76500.00,76200.00,76700.00,75900.00,432610.00,0.00
9/16/2019,77800.00,76500.00,78000.00,76500.00,333720.00,0.02
9/17/2019,79500.00,78000.00,79600.00,77800.00,604250.00,0.02
9/18/2019,80900.00,79500.00,80900.00,79000.00,906280.00,0.02
9/19/2019,80200.00,80900.00,81000.00,79800.00,548790.00,-0.01
9/20/2019,80200.00,80100.00,80200.00,79100.00,816210.00,0.00
9/23/2019,80000.00,80200.00,80900.00,79900.00,485650.00,0.00
9/24/2019,79000.00,79900.00,79900.00,78400.00,561260.00,-0.01
9/25/2019,79000.00,79000.00,79200.00,78600.00,257150.00,0.00
9/26/2019,78500.00,78800.00,79000.00,78300.00,220020.00,-0.01
9/27/2019,79400.00,79000.00,79900.00,78700.00,570790.00,0.01
9/30/2019,78500.00,79400.00,79500.00,78500.00,562880.00,-0.01
10/1/2019,78800.00,79000.00,79100.00,78100.00,246870.00,0.00
10/2/2019,77000.00,79000.00,79000.00,77000.00,700310.00,-0.02
10/3/2019,78000.00,77000.00,78000.00,76400.00,390570.00,0.01
10/4/2019,77400.00,78000.00,78500.00,77100.00,165650.00,-0.01
10/7/2019,76500.00,77400.00,77700.00,76500.00,357580.00,-0.01
10/8/2019,76900.00,76800.00,77500.00,76600.00,258070.00,0.01
10/9/2019,77000.00,76900.00,77200.00,76600.00,223030.00,0.00
10/10/2019,77000.00,77000.00,77500.00,76700.00,417560.00,0.00
10/11/2019,77000.00,77300.00,77400.00,76800.00,560570.00,0.00
10/14/2019,76600.00,77200.00,77400.00,76600.00,199640.00,-0.01
10/15/2019,78200.00,76600.00,78700.00,76600.00,411850.00,0.02
10/16/2019,77800.00,78500.00,78500.00,77800.00,323340.00,-0.01
10/17/2019,77000.00,77800.00,78000.00,77000.00,818380.00,-0.01
10/18/2019,76000.00,77000.00,77500.00,76000.00,448610.00,-0.01
10/21/2019,75000.00,76000.00,76000.00,74700.00,769240.00,-0.01
10/22/2019,74400.00,75000.00,75400.00,74100.00,431650.00,-0.01
10/23/2019,75800.00,74500.00,76000.00,74500.00,387600.00,0.02
10/24/2019,75600.00,76000.00,76000.00,75200.00,272770.00,0.00
10/25/2019,74600.00,75600.00,75600.00,74500.00,479400.00,-0.01
10/28/2019,74500.00,74700.00,75000.00,74500.00,502510.00,0.00
10/29/2019,74000.00,74500.00,74900.00,74000.00,483230.00,-0.01
10/30/2019,74000.00,74600.00,74800.00,73800.00,638330.00,0.00
10/31/2019,74200.00,75000.00,75300.00,73800.00,908640.00,0.00
11/1/2019,75700.00,74500.00,76000.00,74500.00,1600000.00,0.02
11/4/2019,76300.00,76200.00,77100.00,76200.00,890560.00,0.01
11/5/2019,76000.00,76300.00,76400.00,75600.00,764730.00,0.00
11/6/2019,76000.00,75900.00,76700.00,75900.00,537760.00,0.00
11/7/2019,76500.00,76000.00,76500.00,75700.00,431590.00,0.01
11/8/2019,76800.00,77200.00,77400.00,76600.00,586260.00,0.00
11/11/2019,74500.00,76700.00,76700.00,74500.00,1140000.00,-0.03
11/12/2019,75000.00,74600.00,75200.00,74500.00,399080.00,0.01
11/13/2019,74300.00,75200.00,75200.00,74300.00,645910.00,-0.01
11/14/2019,75200.00,74400.00,75300.00,74400.00,477280.00,0.01
11/15/2019,74500.00,75200.00,75200.00,74500.00,275160.00,-0.01
11/18/2019,74400.00,75000.00,75000.00,74400.00,222090.00,0.00
11/19/2019,74000.00,74500.00,74900.00,73900.00,542900.00,-0.01
11/20/2019,73600.00,74000.00,74500.00,73600.00,283120.00,-0.01
11/21/2019,71500.00,73000.00,73800.00,71500.00,843260.00,-0.03
11/22/2019,70500.00,72600.00,72900.00,69900.00,797010.00,-0.01
11/25/2019,71500.00,70600.00,71600.00,70500.00,311430.00,0.01
11/26/2019,71500.00,71800.00,72600.00,71500.00,561680.00,0.00
11/27/2019,71000.00,71500.00,72000.00,70900.00,213600.00,-0.01
11/28/2019,69500.00,70600.00,71000.00,68600.00,608710.00,-0.02
11/29/2019,70000.00,69500.00,70400.00,68900.00,302310.00,0.01
12/2/2019,69000.00,70500.00,70500.00,69000.00,273550.00,-0.01
12/3/2019,64200.00,68700.00,69100.00,64200.00,2270000.00,-0.07
12/4/2019,62500.00,64100.00,64200.00,59900.00,5520000.00,-0.03
12/5/2019,62000.00,62500.00,62500.00,60500.00,1460000.00,-0.01
12/6/2019,62500.00,61500.00,63700.00,61300.00,1620000.00,0.01
12/9/2019,60500.00,62300.00,62400.00,60300.00,1420000.00,-0.03
12/10/2019,56600.00,60500.00,60900.00,56600.00,2720000.00,-0.06
12/11/2019,55700.00,56200.00,57500.00,54400.00,2330000.00,-0.02
12/12/2019,58500.00,56000.00,58800.00,56000.00,1870000.00,0.05
12/13/2019,58000.00,59000.00,59400.00,57000.00,1740000.00,-0.01
12/16/2019,56700.00,57300.00,57800.00,56700.00,1300000.00,-0.02
12/17/2019,56100.00,56800.00,56900.00,55700.00,1130000.00,-0.01
12/18/2019,56400.00,56000.00,57000.00,55000.00,1110000.00,0.01
12/19/2019,55600.00,56000.00,56400.00,55500.00,831960.00,-0.01
12/20/2019,55000.00,55600.00,55700.00,54600.00,1800000.00,-0.01
12/23/2019,51600.00,55600.00,55900.00,51600.00,2230000.00,-0.06
12/24/2019,54500.00,51700.00,54700.00,50200.00,1400000.00,0.06
12/25/2019,55700.00,54800.00,56200.00,54500.00,1310000.00,0.02
12/26/2019,57000.00,55000.00,58100.00,54900.00,1900000.00,0.02
12/27/2019,56900.00,56500.00,57400.00,56000.00,629490.00,0.00
12/30/2019,57100.00,57000.00,58000.00,56800.00,887370.00,0.00
12/31/2019,56500.00,57100.00,57300.00,55900.00,695750.00,-0.01
1/2/2020,57000.00,56900.00,57400.00,56300.00,518870.00,0.01
1/3/2020,57500.00,57200.00,57700.00,56800.00,777690.00,0.01
1/6/2020,56600.00,57500.00,57500.00,56600.00,582020.00,-0.02
1/7/2020,56800.00,56800.00,57300.00,56700.00,319680.00,0.00
1/8/2020,56000.00,56200.00,56500.00,55600.00,737690.00,-0.01
1/9/2020,57000.00,56600.00,57200.00,56500.00,505680.00,0.02
1/10/2020,56500.00,57000.00,57700.00,56500.00,524930.00,-0.01
1/13/2020,57000.00,56600.00,57100.00,56400.00,413810.00,0.01
1/14/2020,56600.00,57000.00,57300.00,56600.00,349410.00,-0.01
1/15/2020,56500.00,57000.00,57000.00,56000.00,373290.00,0.00
1/16/2020,56200.00,56500.00,56900.00,56200.00,290210.00,-0.01
1/17/2020,55000.00,56100.00,56400.00,55000.00,496940.00,-0.02
1/20/2020,54300.00,55000.00,55100.00,53000.00,541490.00,-0.01
1/21/2020,54500.00,54300.00,54900.00,54100.00,369330.00,0.00
1/22/2020,53400.00,54200.00,54600.00,53300.00,540210.00,-0.02
1/30/2020,50100.00,53000.00,53000.00,50000.00,1590000.00,-0.06
1/31/2020,50100.00,50000.00,51700.00,50000.00,791350.00,0.00
2/3/2020,50000.00,46700.00,50000.00,46600.00,1290000.00,0.00
2/4/2020,50000.00,50100.00,51000.00,49500.00,744900.00,0.00
2/5/2020,50000.00,50500.00,50500.00,49200.00,750710.00,0.00
2/6/2020,49900.00,49950.00,49950.00,47500.00,2390000.00,0.00
2/7/2020,49900.00,49800.00,49900.00,48800.00,932290.00,0.00
2/10/2020,49900.00,49900.00,49900.00,48800.00,600280.00,0.00
2/11/2020,49900.00,49200.00,51700.00,49200.00,2080000.00,0.00
2/12/2020,50500.00,50000.00,50700.00,50000.00,804720.00,0.01
2/13/2020,50200.00,50700.00,50900.00,50100.00,547970.00,-0.01
2/14/2020,49800.00,50200.00,50200.00,49450.00,1120000.00,-0.01
