Date,Price,Open,High,Low,Vol.,Change %
10/16/2020,10839.40,10809.60,10929.00,10720.00,6900000.00,0.00
10/19/2020,10958.90,10929.00,11167.90,10839.40,14700000.00,0.01
10/20/2020,10869.30,10958.90,10958.90,10690.10,6510000.00,-0.01
10/21/2020,10570.70,10869.30,10929.00,10570.70,10970000.00,-0.03
10/22/2020,10749.90,10481.10,10749.90,10391.50,10380000.00,0.02
10/23/2020,10690.10,10809.60,10839.40,10570.70,6790000.00,-0.01
10/26/2020,10511.00,10690.10,10809.60,10511.00,7350000.00,-0.02
10/27/2020,10272.10,10451.30,10540.80,10272.10,8460000.00,-0.02
10/28/2020,9973.50,10212.40,10301.90,9854.00,9190000.00,-0.03
10/29/2020,10212.40,9854.00,10212.40,9824.20,7450000.00,0.02
10/30/2020,10212.40,10212.40,10242.20,9973.50,4700000.00,0.00
11/2/2020,10242.20,10212.40,10242.20,10092.90,2610000.00,0.00
11/3/2020,10361.70,10301.90,10391.50,10272.10,4840000.00,0.01
11/4/2020,10451.30,10391.50,10481.10,10301.90,7110000.00,0.01
11/5/2020,10301.90,10391.50,10481.10,10301.90,3860000.00,-0.01
11/6/2020,10242.20,10301.90,10361.70,10182.50,2370000.00,-0.01
11/9/2020,10451.30,10301.90,10511.00,10301.90,6160000.00,0.02
11/10/2020,10570.70,10600.60,10779.70,10511.00,13690000.00,0.01
11/11/2020,10451.30,10630.40,10690.10,10451.30,7530000.00,-0.01
11/12/2020,10451.30,10511.00,10570.70,10421.40,5660000.00,0.00
11/13/2020,10630.40,10511.00,10630.40,10421.40,6520000.00,0.02
11/16/2020,10570.70,10749.90,10809.60,10570.70,9740000.00,-0.01
11/17/2020,10899.20,10660.30,10899.20,10540.80,13330000.00,0.03
11/18/2020,10988.70,10929.00,11108.20,10869.30,11660000.00,0.01
11/19/2020,11018.60,11078.30,11108.20,10929.00,8080000.00,0.00
11/20/2020,10869.30,11018.60,11048.50,10809.60,9400000.00,-0.01
11/23/2020,11167.90,10869.30,11197.80,10779.70,14540000.00,0.03
11/24/2020,11317.20,11227.60,11406.80,11108.20,17000000.00,0.01
11/25/2020,11466.50,11347.10,11526.20,11317.20,13400000.00,0.01
11/26/2020,11436.70,11436.70,11526.20,11257.50,8300000.00,0.00
11/27/2020,11556.10,11436.70,11586.00,11436.70,7160000.00,0.01
11/30/2020,11496.40,11586.00,11705.40,11466.50,10450000.00,-0.01
12/1/2020,11586.00,11227.60,11586.00,11227.60,13660000.00,0.01
12/2/2020,11765.10,11586.00,11854.70,11556.10,11020000.00,0.02
12/3/2020,12063.70,11884.60,12183.20,11824.80,12510000.00,0.03
12/4/2020,11974.10,12063.70,12123.50,11944.30,9850000.00,-0.01
12/7/2020,12272.80,12153.30,12302.60,12093.60,11000000.00,0.02
12/8/2020,13079.00,12332.50,13108.90,12332.50,17910000.00,0.07
12/9/2020,13556.80,13258.20,13855.40,13258.20,21370000.00,0.04
12/10/2020,13616.50,13556.80,13885.20,13377.60,15310000.00,0.00
12/11/2020,14064.40,13616.50,14064.40,13467.20,14010000.00,0.03
12/14/2020,15019.90,14392.90,15019.90,14333.10,18370000.00,0.07
12/15/2020,15229.00,14810.90,15587.30,14810.90,23830000.00,0.01
12/16/2020,14960.20,15288.70,15408.10,14930.40,22430000.00,-0.02
12/17/2020,14960.20,14810.90,15288.70,14691.50,20510000.00,0.00
12/18/2020,16005.30,15169.20,16005.30,15019.90,23000000.00,0.07
12/21/2020,17110.20,16363.70,17110.20,16244.20,21820000.00,0.07
12/22/2020,17677.50,17319.20,17886.60,16990.70,19580000.00,0.03
12/23/2020,17199.80,17528.20,17558.10,17020.60,21710000.00,-0.03
12/24/2020,16931.00,17140.10,17199.80,16005.30,24670000.00,-0.02
12/25/2020,18095.60,16722.00,18095.60,16513.00,24870000.00,0.07
12/28/2020,19110.90,18931.70,19260.20,18573.40,19540000.00,0.06
12/29/2020,18931.70,18812.30,19200.40,18573.40,18500000.00,-0.01
12/30/2020,18812.30,18752.50,19081.00,18513.60,16350000.00,-0.01
12/31/2020,19767.80,18812.30,19976.80,18782.40,14980000.00,0.05
1/4/2021,20185.80,20603.90,20663.60,20185.80,14000000.00,0.02
1/5/2021,20156.00,19857.40,20365.00,19767.80,13400000.00,0.00
1/6/2021,20305.30,20424.70,20872.60,19708.10,16110000.00,0.01
1/7/2021,20544.20,20603.90,20663.60,20036.50,21410000.00,0.01
1/8/2021,20394.90,20842.80,20842.80,20036.50,17710000.00,-0.01
1/11/2021,20036.50,20365.00,20424.70,19737.90,20930000.00,-0.02
1/12/2021,20365.00,19827.50,20603.90,19409.50,25460000.00,0.02
1/13/2021,20006.70,20603.90,20603.90,19947.00,15150000.00,-0.02
1/14/2021,21111.50,20006.70,21380.30,19708.10,35480000.00,0.06
1/15/2021,22067.10,21380.30,22246.20,21171.20,22750000.00,0.05
1/18/2021,21678.90,22067.10,22067.10,21529.60,18040000.00,-0.02
1/19/2021,20185.80,21380.30,21708.70,20185.80,30590000.00,-0.07
1/20/2021,19887.20,20424.70,20603.90,18842.10,22490000.00,-0.01
1/21/2021,20633.80,19947.00,20902.50,19708.10,20320000.00,0.04
1/22/2021,20156.00,20484.50,20723.30,19947.00,17860000.00,-0.02
1/25/2021,20126.10,19827.50,20633.80,19648.40,18870000.00,0.00
1/26/2021,19110.90,19976.80,20066.40,18872.00,16510000.00,-0.05
1/27/2021,17797.00,18573.40,19110.90,17797.00,21830000.00,-0.07
1/28/2021,16572.70,16572.70,16871.30,16572.70,28060000.00,-0.07
1/29/2021,17199.80,15527.60,17707.40,15527.60,21750000.00,0.04
2/1/2021,16005.30,17199.80,17617.80,16005.30,24330000.00,-0.07
2/2/2021,16602.60,15945.60,16722.00,15348.40,18020000.00,0.04
2/3/2021,17737.30,17020.60,17737.30,16722.00,22320000.00,0.07
2/4/2021,17737.30,17737.30,18274.80,17438.70,18750000.00,0.00
2/5/2021,18812.30,17797.00,18812.30,17767.10,19280000.00,0.06
2/8/2021,18274.80,18991.40,19558.80,17677.50,33280000.00,-0.03
2/9/2021,18961.60,18394.20,19051.10,17677.50,24680000.00,0.04
2/17/2021,20036.50,19409.50,20066.40,19230.30,17460000.00,0.06
2/18/2021,19887.20,20006.70,20156.00,19558.80,22740000.00,-0.01
2/19/2021,19797.70,19528.90,20066.40,19528.90,18510000.00,0.00
2/22/2021,19618.50,19797.70,20156.00,19528.90,20830000.00,-0.01
2/23/2021,20066.40,19678.20,20275.40,19499.00,24180000.00,0.02
2/24/2021,19976.80,20484.50,20574.00,19708.10,22730000.00,0.00
2/25/2021,19976.80,20126.10,20156.00,19648.40,17300000.00,0.00
2/26/2021,19827.50,19528.90,19947.00,19469.20,21660000.00,-0.01
3/1/2021,20902.50,20066.40,20962.20,19887.20,29970000.00,0.05
3/2/2021,20932.40,21201.10,21201.10,20693.50,19460000.00,0.00
3/3/2021,20812.90,20753.20,20962.20,20663.60,15260000.00,-0.01
3/4/2021,19976.80,20872.60,20872.60,19708.10,24280000.00,-0.04
3/5/2021,19976.80,19708.10,19976.80,19409.50,21960000.00,0.00
3/8/2021,20036.50,20394.90,20574.00,19917.10,16810000.00,0.00
3/9/2021,19737.90,19887.20,20036.50,19558.80,16280000.00,-0.01
3/10/2021,19767.80,19588.60,19857.40,19290.00,16980000.00,0.00
3/11/2021,20275.40,20066.40,20484.50,19887.20,16800000.00,0.03
3/12/2021,20006.70,20275.40,20365.00,19947.00,9610000.00,-0.01
