Date,Price,Open,High,Low,Vol.,Change %
7/18/2019,9055.70,9085.40,9115.10,8996.30,297810.00,-0.01
7/19/2019,9085.40,9055.70,9115.10,9026.00,488490.00,0.00
7/22/2019,8907.20,8936.90,9026.00,8877.50,532590.00,-0.02
7/23/2019,8907.20,8907.20,9026.00,8788.50,646780.00,0.00
7/24/2019,8877.50,8907.20,8907.20,8669.70,1140000.00,0.00
7/25/2019,8847.80,8818.20,8847.80,8669.70,482100.00,0.00
7/26/2019,8847.80,8847.80,8847.80,8669.70,478230.00,0.00
7/29/2019,8818.20,8847.80,8847.80,8669.70,322180.00,0.00
7/30/2019,8788.50,8818.20,8818.20,8699.40,367410.00,0.00
7/31/2019,8788.50,8788.50,8788.50,8640.00,576100.00,0.00
8/1/2019,8758.80,8788.50,8818.20,8699.40,143590.00,0.00
8/2/2019,8788.50,8669.70,8788.50,8580.60,633390.00,0.00
8/5/2019,8758.80,8788.50,8788.50,8669.70,417470.00,0.00
8/6/2019,8729.10,8640.00,8729.10,8491.60,641460.00,0.00
8/7/2019,8699.40,8758.80,8758.80,8550.90,535830.00,0.00
8/8/2019,8669.70,8550.90,8669.70,8550.90,689890.00,0.00
8/9/2019,8669.70,8729.10,8729.10,8610.30,375960.00,0.00
8/12/2019,8669.70,8699.40,8699.40,8640.00,229040.00,0.00
8/13/2019,8610.30,8610.30,8669.70,8521.30,347470.00,-0.01
8/14/2019,8610.30,8610.30,8699.40,8580.60,196640.00,0.00
8/15/2019,8699.40,8550.90,8699.40,8402.50,593940.00,0.01
8/16/2019,8729.10,8699.40,9115.10,8550.90,1610000.00,0.00
8/19/2019,8729.10,8729.10,8907.20,8729.10,185820.00,0.00
8/20/2019,8699.40,8847.80,8847.80,8699.40,186620.00,0.00
8/21/2019,8640.00,8669.70,8699.40,8610.30,417360.00,-0.01
8/22/2019,8669.70,8699.40,8699.40,8580.60,302240.00,0.00
8/23/2019,8550.90,8669.70,8669.70,8550.90,152730.00,-0.01
8/26/2019,8491.60,8521.30,8550.90,8402.50,430030.00,-0.01
8/27/2019,8283.70,8550.90,8550.90,8283.70,781970.00,-0.02
8/28/2019,8343.10,8283.70,8372.80,8254.00,192680.00,0.01
8/29/2019,8313.40,8343.10,8402.50,8075.90,560290.00,0.00
8/30/2019,8313.40,8343.10,8343.10,8194.70,498330.00,0.00
9/3/2019,8254.00,8313.40,8313.40,8135.30,429960.00,-0.01
9/4/2019,8194.70,8224.30,8224.30,8046.20,719480.00,-0.01
9/5/2019,8165.00,8194.70,8194.70,8046.20,456900.00,0.00
9/6/2019,8165.00,7719.60,8165.00,7719.60,1910000.00,0.00
9/9/2019,8194.70,8165.00,8194.70,7986.80,622910.00,0.00
9/10/2019,8165.00,8165.00,8165.00,7986.80,655300.00,0.00
9/11/2019,8313.40,8165.00,8343.10,8016.50,995900.00,0.02
9/12/2019,8313.40,8313.40,8313.40,8224.30,303640.00,0.00
9/13/2019,8343.10,8313.40,8372.80,8254.00,474270.00,0.00
9/16/2019,8372.80,8372.80,8491.60,8343.10,801100.00,0.00
9/17/2019,8254.00,8372.80,8432.20,8254.00,476040.00,-0.01
9/18/2019,8313.40,8283.70,8402.50,8254.00,358450.00,0.01
9/19/2019,8313.40,8313.40,8343.10,8194.70,586910.00,0.00
9/20/2019,8283.70,8313.40,8372.80,8254.00,328630.00,0.00
